               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.054043,             0.17723,           0.0089738,             0.42907,             0.38195,             0.36632,             0.19359,            0.050355,             0.14327,           0.0097811,           0.0097011,           0.0097011,           0.0097011
                  37,            0.053879,             0.17807,           0.0090598,             0.47532,             0.36472,             0.36652,             0.19468,            0.050312,              0.1425,           0.0098569,            0.009684,            0.009684,            0.009684
                  38,             0.05384,             0.17812,           0.0089411,             0.48216,             0.34923,             0.36157,             0.19565,            0.050343,             0.14327,            0.010038,           0.0096664,           0.0096664,           0.0096664
                  39,            0.053734,             0.17772,            0.008797,             0.43963,              0.3607,             0.36273,             0.19468,            0.050301,             0.14281,            0.009977,           0.0096484,           0.0096484,           0.0096484
                  40,            0.054031,             0.17821,           0.0088521,             0.47303,             0.36322,             0.37343,             0.20005,            0.050182,             0.14229,           0.0098699,           0.0096299,           0.0096299,           0.0096299
                  41,            0.053781,             0.17715,           0.0086801,              0.3896,             0.39234,             0.36329,              0.1975,            0.050211,             0.14226,           0.0099097,            0.009611,            0.009611,            0.009611
                  42,            0.053894,             0.17906,           0.0089358,             0.44793,             0.37303,             0.37146,              0.1966,            0.050453,              0.1442,           0.0099741,           0.0095916,           0.0095916,           0.0095916
                  43,            0.053753,             0.17867,           0.0088035,             0.45599,             0.36357,              0.3612,             0.19517,            0.050409,             0.14379,           0.0098313,           0.0095717,           0.0095717,           0.0095717
                  44,            0.053823,               0.179,           0.0086721,             0.45996,             0.37059,             0.36698,             0.19587,            0.050295,             0.14301,           0.0098583,           0.0095514,           0.0095514,           0.0095514
                  45,             0.05372,             0.17743,            0.008773,             0.46229,             0.37023,             0.36556,             0.19442,            0.050251,             0.14306,           0.0097811,           0.0095307,           0.0095307,           0.0095307
                  46,            0.053622,             0.17842,           0.0086238,             0.45101,              0.3676,             0.36716,             0.19594,            0.050254,              0.1431,           0.0098292,           0.0095095,           0.0095095,           0.0095095
                  47,            0.053556,             0.17635,           0.0085753,             0.43068,             0.37732,             0.36776,             0.19931,             0.05015,             0.14257,           0.0097392,           0.0094879,           0.0094879,           0.0094879
                  48,            0.053633,             0.17857,           0.0086376,             0.49336,             0.35872,             0.36836,              0.1991,            0.050217,             0.14307,           0.0098283,           0.0094659,           0.0094659,           0.0094659
                  49,            0.053707,             0.17908,           0.0085585,             0.49261,             0.35699,             0.37158,             0.19768,            0.050188,             0.14303,           0.0096925,           0.0094434,           0.0094434,           0.0094434
                  50,            0.053344,              0.1759,           0.0084522,             0.45034,             0.36225,             0.36419,             0.19664,            0.050209,             0.14265,            0.010055,           0.0094205,           0.0094205,           0.0094205
                  51,             0.05339,              0.1759,           0.0084659,             0.49427,             0.37044,              0.3715,             0.19878,            0.050214,             0.14284,            0.010001,           0.0093971,           0.0093971,           0.0093971
                  52,            0.053339,             0.17499,           0.0084793,             0.45347,             0.37667,             0.37351,             0.19973,            0.050193,             0.14312,           0.0099825,           0.0093733,           0.0093733,           0.0093733
                  53,             0.05323,             0.17591,            0.008413,             0.47214,             0.36704,             0.36552,             0.19577,            0.050149,             0.14317,           0.0098949,           0.0093491,           0.0093491,           0.0093491
                  54,            0.053225,             0.17503,           0.0082453,             0.48649,             0.37828,             0.36906,             0.19735,            0.050209,             0.14361,           0.0099775,           0.0093245,           0.0093245,           0.0093245
                  55,            0.053124,             0.17424,           0.0084488,             0.50933,             0.36481,             0.37475,             0.20127,             0.05002,             0.14297,           0.0098699,           0.0092995,           0.0092995,           0.0092995
                  56,            0.053318,             0.17479,           0.0084158,             0.43505,             0.38302,             0.36872,             0.19924,            0.050207,             0.14346,           0.0099584,            0.009274,            0.009274,            0.009274
                  57,            0.053246,             0.17764,           0.0082632,             0.45524,             0.37363,             0.36595,             0.19849,            0.050204,             0.14345,           0.0098046,           0.0092481,           0.0092481,           0.0092481
                  58,            0.053207,             0.17642,           0.0084211,              0.4346,             0.39153,             0.37027,             0.19966,            0.050124,             0.14372,           0.0098915,           0.0092219,           0.0092219,           0.0092219
                  59,            0.053119,               0.174,           0.0082539,             0.50245,             0.37074,             0.37564,             0.20232,            0.049917,             0.14258,           0.0098548,           0.0091952,           0.0091952,           0.0091952
                  60,            0.053098,             0.17604,           0.0083356,              0.4701,             0.36845,             0.36834,             0.19907,            0.050072,             0.14349,           0.0098713,           0.0091681,           0.0091681,           0.0091681
                  61,            0.052925,              0.1737,           0.0082118,             0.46326,              0.3851,             0.37323,              0.2002,            0.050094,             0.14284,           0.0099219,           0.0091406,           0.0091406,           0.0091406
                  62,            0.053018,             0.17376,            0.008331,             0.42424,             0.39965,             0.37641,             0.19981,            0.050098,             0.14317,           0.0098516,           0.0091127,           0.0091127,           0.0091127
                  63,            0.053083,              0.1744,           0.0081402,             0.43647,             0.37696,             0.36966,              0.1998,            0.050088,             0.14315,           0.0099942,           0.0090844,           0.0090844,           0.0090844
                  64,            0.052951,             0.17524,           0.0080486,             0.46765,             0.36371,              0.3697,             0.19878,            0.050209,             0.14372,            0.010121,           0.0090557,           0.0090557,           0.0090557
                  65,            0.052765,             0.17463,           0.0080351,             0.46674,             0.36758,             0.36688,             0.19846,            0.050163,              0.1433,            0.010081,           0.0090266,           0.0090266,           0.0090266
                  66,            0.052876,             0.17532,           0.0080966,             0.48603,             0.37365,              0.3732,             0.20307,            0.050097,             0.14338,           0.0099762,           0.0089972,           0.0089972,           0.0089972
                  67,            0.052883,              0.1747,           0.0080034,             0.43598,             0.38449,             0.37198,             0.20053,            0.049975,             0.14338,            0.010054,           0.0089673,           0.0089673,           0.0089673
                  68,            0.052809,             0.17405,           0.0081357,             0.46227,             0.36975,             0.36701,             0.19977,            0.050032,             0.14379,            0.010102,           0.0089371,           0.0089371,           0.0089371
                  69,            0.052756,              0.1744,           0.0079221,             0.47024,             0.37366,             0.37177,             0.20229,            0.050047,             0.14355,             0.01001,           0.0089065,           0.0089065,           0.0089065
                  70,            0.052708,             0.17339,           0.0079376,             0.45422,             0.37024,             0.36842,             0.19995,            0.050135,             0.14398,            0.010194,           0.0088755,           0.0088755,           0.0088755
                  71,             0.05283,             0.17358,           0.0080115,             0.42031,             0.38485,             0.36925,             0.20133,            0.050008,              0.1434,            0.010063,           0.0088442,           0.0088442,           0.0088442
                  72,            0.052721,             0.17388,            0.007992,             0.43003,             0.38556,               0.371,             0.20046,            0.050036,             0.14349,            0.010094,           0.0088124,           0.0088124,           0.0088124
                  73,            0.052727,             0.17349,           0.0078763,             0.41902,             0.39019,             0.37207,             0.20213,            0.050013,              0.1437,            0.010044,           0.0087804,           0.0087804,           0.0087804
                  74,            0.052657,             0.17184,           0.0079296,             0.47946,             0.37545,             0.37716,             0.20216,            0.050064,             0.14365,            0.010036,           0.0087479,           0.0087479,           0.0087479
                  75,            0.052544,             0.17202,           0.0077408,              0.4651,             0.38092,             0.37779,             0.20264,            0.050083,             0.14405,           0.0099667,           0.0087151,           0.0087151,           0.0087151
                  76,            0.052612,             0.17269,            0.007802,             0.49924,             0.37035,             0.37799,             0.20384,            0.050124,             0.14395,           0.0099836,            0.008682,            0.008682,            0.008682
                  77,            0.052326,             0.17228,           0.0078055,             0.46622,             0.38423,             0.37826,             0.20408,            0.050077,             0.14359,            0.009998,           0.0086485,           0.0086485,           0.0086485
                  78,            0.052453,             0.17395,           0.0079067,             0.42336,             0.39467,             0.37521,             0.20206,            0.050119,             0.14387,            0.010042,           0.0086146,           0.0086146,           0.0086146
                  79,             0.05243,             0.17305,           0.0078349,             0.43135,             0.39856,             0.37813,             0.20499,             0.05008,             0.14416,            0.010056,           0.0085805,           0.0085805,           0.0085805
                  80,            0.052333,              0.1718,           0.0077851,             0.49949,             0.36737,             0.37868,             0.20539,            0.050044,             0.14414,             0.01006,           0.0085459,           0.0085459,           0.0085459
                  81,            0.052523,             0.17212,           0.0076892,              0.4366,             0.38648,             0.37827,             0.20432,            0.050053,             0.14424,            0.010029,           0.0085111,           0.0085111,           0.0085111
                  82,            0.052362,             0.17161,            0.007828,             0.46823,             0.37034,             0.37476,             0.20355,            0.050047,             0.14428,            0.010103,           0.0084759,           0.0084759,           0.0084759
                  83,            0.052394,             0.17268,           0.0075981,             0.50795,             0.35628,             0.37285,             0.20265,            0.049999,             0.14413,            0.010187,           0.0084404,           0.0084404,           0.0084404
                  84,            0.052209,             0.17086,           0.0077029,             0.47964,             0.36044,             0.37123,             0.20277,            0.049987,             0.14406,            0.010184,           0.0084046,           0.0084046,           0.0084046
                  85,            0.052173,              0.1715,           0.0076978,             0.46071,             0.37214,             0.37555,             0.20392,            0.049959,              0.1439,            0.010145,           0.0083684,           0.0083684,           0.0083684
                  86,            0.052094,             0.17162,           0.0075958,              0.4878,             0.36176,             0.37949,             0.20547,            0.049947,             0.14383,            0.010086,           0.0083319,           0.0083319,           0.0083319
                  87,            0.052354,             0.17199,           0.0075626,             0.54288,             0.34466,             0.37754,               0.204,            0.049955,             0.14408,            0.010095,           0.0082952,           0.0082952,           0.0082952
                  88,            0.052273,              0.1719,           0.0075878,             0.48115,             0.36139,             0.37589,             0.20448,            0.049977,             0.14401,            0.010141,           0.0082581,           0.0082581,           0.0082581
                  89,            0.052079,             0.17005,           0.0074522,             0.45183,             0.37182,             0.37319,             0.20388,            0.050016,             0.14414,            0.010197,           0.0082207,           0.0082207,           0.0082207
                  90,            0.052231,             0.17112,           0.0074471,             0.44108,              0.3835,             0.37274,             0.20373,            0.050051,             0.14432,            0.010217,            0.008183,            0.008183,            0.008183
                  91,            0.052189,              0.1718,           0.0075856,              0.4551,              0.3744,             0.37129,             0.20331,             0.05003,             0.14428,            0.010243,            0.008145,            0.008145,            0.008145
                  92,            0.051919,             0.17006,           0.0074423,             0.47247,             0.36791,             0.37083,              0.2023,            0.050012,             0.14442,            0.010282,           0.0081068,           0.0081068,           0.0081068
                  93,            0.051946,             0.17055,           0.0074225,             0.45501,             0.37405,             0.37098,             0.20228,            0.050025,             0.14451,            0.010356,           0.0080682,           0.0080682,           0.0080682
                  94,            0.052172,             0.17162,           0.0074039,              0.5053,             0.34913,              0.3693,             0.20219,            0.050041,             0.14463,            0.010317,           0.0080294,           0.0080294,           0.0080294
                  95,            0.052038,             0.17165,           0.0074067,             0.46642,              0.3664,             0.36963,             0.20188,            0.050035,             0.14461,            0.010311,           0.0079903,           0.0079903,           0.0079903
                  96,            0.051776,             0.16988,           0.0073974,             0.47537,              0.3635,             0.37114,             0.20273,            0.050027,             0.14469,            0.010325,           0.0079509,           0.0079509,           0.0079509
                  97,            0.052026,             0.17241,           0.0073709,             0.42787,              0.3803,             0.36949,             0.20261,            0.050028,             0.14483,            0.010356,           0.0079112,           0.0079112,           0.0079112
                  98,            0.051799,             0.17025,           0.0073214,             0.47127,             0.36537,             0.37166,             0.20291,            0.050023,             0.14492,            0.010348,           0.0078713,           0.0078713,           0.0078713
                  99,             0.05182,              0.1702,            0.007323,             0.48548,             0.35918,             0.37325,              0.2031,            0.050026,             0.14503,            0.010349,           0.0078311,           0.0078311,           0.0078311
                 100,            0.051949,             0.17006,           0.0074596,             0.47242,             0.36347,             0.37403,             0.20363,            0.050035,             0.14506,            0.010334,           0.0077907,           0.0077907,           0.0077907
                 101,             0.05187,             0.16999,           0.0072372,              0.4764,             0.36193,             0.37487,             0.20292,            0.050033,             0.14513,            0.010307,             0.00775,             0.00775,             0.00775
                 102,            0.051785,             0.17018,           0.0073038,             0.48478,             0.35517,             0.37314,             0.20294,            0.050044,             0.14511,            0.010324,           0.0077091,           0.0077091,           0.0077091
                 103,             0.05161,             0.16964,           0.0073586,             0.43686,             0.37646,             0.37345,             0.20312,             0.05003,              0.1451,            0.010328,           0.0076679,           0.0076679,           0.0076679
                 104,            0.051962,             0.17078,           0.0072709,             0.43475,              0.3794,             0.37396,             0.20255,            0.050032,             0.14513,            0.010344,           0.0076265,           0.0076265,           0.0076265
                 105,            0.051776,              0.1691,           0.0072731,             0.45574,              0.3669,             0.37434,             0.20206,            0.050027,             0.14506,            0.010347,           0.0075848,           0.0075848,           0.0075848
                 106,            0.051688,             0.16873,           0.0072174,              0.4567,             0.36557,              0.3737,             0.20129,            0.050032,             0.14502,            0.010361,            0.007543,            0.007543,            0.007543
                 107,            0.051496,             0.16931,           0.0071222,              0.4929,              0.3524,             0.37297,             0.20228,            0.050036,             0.14503,            0.010357,           0.0075009,           0.0075009,           0.0075009
                 108,            0.051626,             0.16717,           0.0071865,             0.48365,             0.35793,             0.37356,             0.20194,            0.050036,             0.14509,            0.010361,           0.0074585,           0.0074585,           0.0074585
                 109,            0.051754,             0.16926,            0.007161,             0.48209,             0.35994,             0.37359,             0.20197,            0.050036,             0.14512,            0.010381,            0.007416,            0.007416,            0.007416
                 110,            0.051791,             0.17158,           0.0071731,             0.48051,             0.36359,              0.3737,             0.20108,             0.05004,             0.14513,             0.01039,           0.0073733,           0.0073733,           0.0073733
                 111,             0.05156,              0.1694,           0.0071848,             0.48867,             0.36062,             0.37353,             0.20205,            0.050046,             0.14518,            0.010386,           0.0073303,           0.0073303,           0.0073303
                 112,            0.051431,             0.16968,           0.0069872,             0.49716,             0.35844,             0.37293,             0.20211,            0.050051,             0.14519,            0.010399,           0.0072872,           0.0072872,           0.0072872
                 113,            0.051395,             0.16822,           0.0070183,             0.48953,             0.36192,             0.37239,             0.20175,            0.050052,             0.14521,            0.010401,           0.0072438,           0.0072438,           0.0072438
                 114,            0.051281,             0.16803,           0.0069976,             0.48479,             0.36254,             0.37153,             0.20169,            0.050063,             0.14541,             0.01041,           0.0072003,           0.0072003,           0.0072003
                 115,            0.051354,             0.16782,             0.00696,              0.4796,             0.36614,             0.37112,             0.20124,            0.050065,             0.14548,            0.010418,           0.0071566,           0.0071566,           0.0071566
                 116,            0.051452,             0.16848,           0.0070684,              0.4689,             0.37119,             0.37148,             0.20159,            0.050068,              0.1455,            0.010428,           0.0071127,           0.0071127,           0.0071127
                 117,            0.051415,             0.16935,           0.0069784,             0.47363,             0.36828,             0.37157,             0.20148,            0.050071,             0.14555,            0.010444,           0.0070686,           0.0070686,           0.0070686
                 118,            0.051399,             0.16798,           0.0068977,             0.47501,             0.36981,             0.37179,              0.2018,            0.050072,             0.14555,            0.010452,           0.0070243,           0.0070243,           0.0070243
                 119,             0.05116,             0.16757,           0.0069679,             0.48149,             0.36534,              0.3716,              0.2016,            0.050085,             0.14563,            0.010469,           0.0069799,           0.0069799,           0.0069799
                 120,            0.051408,             0.16886,           0.0069224,             0.47916,             0.36394,             0.37186,             0.20149,            0.050092,             0.14568,            0.010479,           0.0069353,           0.0069353,           0.0069353
                 121,            0.051275,             0.16817,           0.0068967,              0.4915,             0.35545,             0.37082,              0.2012,            0.050099,             0.14576,            0.010494,           0.0068906,           0.0068906,           0.0068906
                 122,            0.051396,             0.16936,           0.0069215,             0.45795,             0.36777,             0.37079,             0.20101,            0.050101,              0.1458,            0.010499,           0.0068457,           0.0068457,           0.0068457
                 123,            0.051305,             0.16875,           0.0069328,             0.45381,             0.37006,             0.37058,             0.20139,            0.050107,             0.14584,            0.010514,           0.0068006,           0.0068006,           0.0068006
                 124,            0.051353,             0.16754,           0.0068541,             0.45858,             0.36696,             0.37014,             0.20131,            0.050116,             0.14587,            0.010523,           0.0067555,           0.0067555,           0.0067555
                 125,            0.051235,             0.16934,           0.0068586,             0.49211,             0.35267,             0.37055,             0.20125,            0.050124,              0.1459,            0.010536,           0.0067101,           0.0067101,           0.0067101
                 126,            0.051127,             0.16798,           0.0068848,             0.49565,             0.35266,             0.37061,             0.20147,            0.050128,             0.14596,            0.010546,           0.0066647,           0.0066647,           0.0066647
                 127,            0.051198,             0.16736,           0.0069407,             0.49769,              0.3524,             0.37111,               0.202,            0.050132,             0.14599,            0.010556,           0.0066191,           0.0066191,           0.0066191
                 128,            0.051133,             0.16632,            0.006815,             0.44989,             0.37083,             0.37095,              0.2014,             0.05014,             0.14608,            0.010565,           0.0065734,           0.0065734,           0.0065734
                 129,            0.051207,             0.16802,           0.0068165,             0.43866,             0.37476,             0.37064,             0.20164,            0.050147,             0.14618,            0.010577,           0.0065276,           0.0065276,           0.0065276
                 130,            0.050869,              0.1657,           0.0068319,             0.42723,             0.38096,             0.37073,             0.20159,            0.050152,             0.14625,            0.010585,           0.0064816,           0.0064816,           0.0064816
                 131,            0.050974,             0.16711,           0.0067161,             0.42853,             0.38022,             0.37062,             0.20138,            0.050162,             0.14631,            0.010598,           0.0064356,           0.0064356,           0.0064356
                 132,             0.05103,             0.16723,           0.0067118,             0.42422,             0.38362,             0.37064,              0.2018,            0.050165,             0.14635,            0.010606,           0.0063895,           0.0063895,           0.0063895
                 133,            0.050897,             0.16662,           0.0067141,             0.42647,             0.38315,             0.37119,             0.20149,            0.050169,              0.1464,            0.010618,           0.0063432,           0.0063432,           0.0063432
                 134,            0.051081,             0.16789,           0.0067334,             0.43743,             0.37803,             0.37058,             0.20143,            0.050179,             0.14647,            0.010632,           0.0062969,           0.0062969,           0.0062969
                 135,            0.050998,             0.16702,           0.0067802,             0.44153,             0.37443,             0.37052,              0.2012,            0.050183,             0.14649,            0.010646,           0.0062505,           0.0062505,           0.0062505
                 136,            0.050885,             0.16715,           0.0066667,             0.43725,             0.37781,             0.37058,             0.20139,            0.050192,             0.14655,            0.010666,            0.006204,            0.006204,            0.006204
                 137,            0.051019,             0.16697,           0.0066277,             0.43166,             0.37935,             0.37042,             0.20124,              0.0502,              0.1466,            0.010684,           0.0061574,           0.0061574,           0.0061574
                 138,            0.051004,             0.16617,            0.006649,             0.44101,             0.37438,             0.37062,             0.20071,            0.050208,             0.14665,            0.010695,           0.0061107,           0.0061107,           0.0061107
                 139,            0.050818,             0.16638,           0.0066405,              0.4435,             0.37322,             0.37054,             0.20101,            0.050212,              0.1467,            0.010704,            0.006064,            0.006064,            0.006064
                 140,            0.050913,             0.16694,           0.0065323,             0.44381,             0.37372,             0.37032,             0.20076,            0.050215,             0.14675,            0.010709,           0.0060172,           0.0060172,           0.0060172
                 141,            0.050568,             0.16577,            0.006548,             0.44897,             0.37022,             0.37016,             0.20087,            0.050218,             0.14678,            0.010716,           0.0059704,           0.0059704,           0.0059704
                 142,            0.050709,             0.16665,           0.0065938,             0.45269,             0.36954,             0.37035,             0.20048,            0.050224,              0.1468,            0.010727,           0.0059235,           0.0059235,           0.0059235
                 143,            0.050532,             0.16475,           0.0064614,             0.45189,             0.37058,             0.36989,             0.20116,            0.050227,             0.14685,            0.010737,           0.0058766,           0.0058766,           0.0058766
                 144,             0.05074,             0.16621,           0.0064274,             0.45012,             0.37081,             0.37006,             0.20096,            0.050233,             0.14689,            0.010748,           0.0058296,           0.0058296,           0.0058296
                 145,            0.050668,             0.16548,            0.006464,             0.45255,             0.36921,             0.36998,             0.20094,            0.050236,             0.14691,            0.010761,           0.0057826,           0.0057826,           0.0057826
                 146,            0.050638,             0.16617,           0.0065405,             0.45322,              0.3692,             0.36996,              0.2008,            0.050237,             0.14693,            0.010773,           0.0057355,           0.0057355,           0.0057355
                 147,            0.050545,             0.16572,           0.0065009,             0.46781,             0.36201,              0.3698,             0.20052,            0.050238,             0.14698,            0.010784,           0.0056884,           0.0056884,           0.0056884
                 148,            0.050614,             0.16589,           0.0065909,             0.46946,             0.36092,              0.3695,             0.20033,            0.050241,               0.147,            0.010791,           0.0056413,           0.0056413,           0.0056413
                 149,            0.050449,             0.16379,           0.0064367,             0.47009,             0.36095,             0.36937,             0.20067,            0.050242,             0.14705,            0.010801,           0.0055942,           0.0055942,           0.0055942
                 150,            0.050645,             0.16684,           0.0064577,               0.479,              0.3571,             0.36974,             0.20076,            0.050243,             0.14707,            0.010808,           0.0055471,           0.0055471,           0.0055471
                 151,            0.050542,             0.16597,           0.0063911,             0.47398,             0.35836,             0.36899,             0.20069,            0.050244,             0.14711,            0.010817,              0.0055,              0.0055,              0.0055
                 152,            0.050553,             0.16597,           0.0064216,             0.47601,             0.35822,             0.36935,             0.20089,            0.050246,             0.14714,            0.010823,           0.0054529,           0.0054529,           0.0054529
                 153,            0.050321,             0.16523,           0.0064284,             0.49011,             0.35352,             0.37012,             0.20114,            0.050246,             0.14717,            0.010831,           0.0054058,           0.0054058,           0.0054058
                 154,            0.050492,             0.16505,           0.0063486,             0.48746,              0.3538,             0.37014,             0.20061,            0.050246,             0.14718,            0.010835,           0.0053587,           0.0053587,           0.0053587
                 155,            0.050507,             0.16536,           0.0063445,             0.45277,             0.36808,             0.37013,             0.20063,            0.050246,              0.1472,            0.010842,           0.0053116,           0.0053116,           0.0053116
                 156,            0.050354,             0.16455,           0.0064048,             0.47823,             0.35892,             0.37025,             0.20034,            0.050246,             0.14723,            0.010851,           0.0052645,           0.0052645,           0.0052645
                 157,            0.050299,             0.16467,           0.0063578,             0.47703,             0.35954,             0.37034,             0.20054,             0.05025,             0.14726,            0.010858,           0.0052174,           0.0052174,           0.0052174
                 158,            0.050205,              0.1651,           0.0062629,              0.4974,             0.34879,             0.36874,             0.20008,             0.05025,              0.1473,            0.010864,           0.0051704,           0.0051704,           0.0051704
                 159,            0.050299,             0.16434,           0.0063566,              0.4796,             0.35587,             0.36874,             0.19982,            0.050249,             0.14731,            0.010866,           0.0051234,           0.0051234,           0.0051234
